Common Name,Threatened status,Kingdom,Class,ACT,NSW,NT,QLD,SA,TAS,VIC,WA
Curly-bark Wattle,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
-,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Sandpaper Wattle,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Echidna Wattle,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Jumping-jack Wattle,Endangered,Plantae,Magnoliopsida,-,-,-,-,Yes,-,Yes,-
a shrub,Critically Endangered,Plantae,Magnoliopsida,-,-,Yes,-,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Flockton Wattle,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Forest's Wattle,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Critically Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Bega Wattle,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Hairy-pod Wattle,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,Yes,-,Yes,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
"Hando's Wattle, Percy Grant Wattle",Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Gibson Wattle,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Yornaning Wattle,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Extinct,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,Yes,-
Woolly Wattle,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Latz's Wattle,Vulnerable,Plantae,Magnoliopsida,-,-,Yes,-,Yes,-,-,-
Tara Wattle,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Chinocup Wattle,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Chiddarcooping Wattle,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Girringun wattle,Critically Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
McNutt's Wattle,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Menzel's Wattle,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
"Waddy, Waddi, Waddy-wood, Birdsville Wattle",Vulnerable,Plantae,Magnoliopsida,-,-,Yes,Yes,Yes,-,-,-
Wongan Gully Wattle,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Phantom Wattle,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,Yes,-
Birds Nest Wattle,Vulnerable,Plantae,Magnoliopsida,-,-,Yes,-,Yes,-,-,-
"Fat-leaved Wattle,  Fat-leaf Wattle",Endangered,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Senna Wattle,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
a shrub,Vulnerable,Plantae,Magnoliopsida,-,-,Yes,-,-,-,-,-
Diels' Wattle,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Downy Wattle, Hairy Stemmed Wattle",Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Velvet Wattle,Endangered,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
Purple-flowered Wattle,Critically Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Bolivia Wattle,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Dwarf Rock Wattle,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Recurved Wattle,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Kundip Wattle,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Neat Wattle, Resin Wattle (SA)",Vulnerable,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
Rupp's Wattle,Endangered,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
"Wundowlin Wattle, Ghost Wattle",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Spiller's Wattle,Endangered,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
"Splendid Wattle, Dandaragan Wattle",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Hairy-stemmed Zig-Zag Wattle,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Sunshine Wattle (Sydney region),Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Undoolya Wattle, Sickle-leaf Wattle",Vulnerable,Plantae,Magnoliopsida,-,-,Yes,-,-,-,-,-
a shrub,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Vassal's Wattle,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Tangled Wattle, Tangle Wattle",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Whibley Wattle, Whibley's Wattle",Endangered,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
Wilson's Wattle,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Woodman's Wattle,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Slender-billed Thornbill (Gulf St Vincent),Vulnerable,Animalia,Aves,-,-,-,-,Yes,-,-,-
Kangaroo Island Striated Thornbill,Vulnerable,Animalia,Aves,-,-,-,-,Yes,-,-,-
"King Island Brown Thornbill, Brown Thornbill (King Island)",Endangered,Animalia,Aves,-,-,-,-,-,Yes,-,-
"Spiny Everlasting, Spiny Daisy",Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,Yes,-,-,-
Plains Death Adder,Vulnerable,Animalia,Reptilia,-,-,Yes,Yes,-,-,-,Yes
"King Island Scrubtit, Scrubtit (King Island)",Critically Endangered,Animalia,Aves,-,-,-,-,-,Yes,-,-
Christmas Island Goshawk,Endangered,Animalia,Aves,-,-,-,-,-,-,-,-
"Chaff Tree, Soft-wood",Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,-
Phillip Island Chaffy Tree,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,-
-,Extinct,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
Pale Chandelier Orchid,Vulnerable,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
Scented Acronychia,Endangered,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Desert Flannel-flower,Vulnerable,Plantae,Magnoliopsida,-,-,Yes,-,-,-,-,-
Brigalow Woodland Snail,Endangered,Animalia,Gastropoda,-,-,-,Yes,-,-,-,-
"Boggomoss Snail, Dawson River Snail, Dawson Valley Snail",Critically Endangered,Animalia,Gastropoda,-,-,-,Yes,-,-,-,-
Dulacca Woodland Snail,Endangered,Animalia,Gastropoda,-,-,-,Yes,-,-,-,-
Fitzgerald Woollybush,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Oval-leaf Adenanthos,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Toolinna Adenanthos,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Sprawling Spiky Adenanthos,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Spiky Adenanthos,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Velvet Woollybush,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Campbell's Keeled Glass-snail,Critically Endangered,Animalia,Gastropoda,-,-,-,-,-,-,-,-
"Short-nosed Sea Snake, Short-nosed Seasnake",Critically Endangered,Animalia,Reptilia,-,-,-,-,-,-,-,Yes
"Leaf-scaled Sea Snake, Leaf-scaled Seasnake",Critically Endangered,Animalia,Reptilia,-,-,-,-,-,-,-,Yes
Dusky Sea Snake,Endangered,Animalia,Reptilia,-,-,-,-,-,-,-,Yes
Isis Tamarind,Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Dwarf Heath Casuarina,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Emu Mountain Sheoak, Mt Emu She-oak",Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Woolly Sheoak,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Nielsen Park She-oak,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Mount Compass Oak-bush,Endangered,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
Nabiac Casuarina,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
Twisted Sheoak,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Red Silky Oak, Queensland Waratah, Tree Waratah",Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Torrington Pea,Endangered,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
Yass Daisy,Vulnerable,Plantae,Magnoliopsida,Yes,Yes,-,-,-,-,-,-
Ammonite Pinwheel Snail,Critically Endangered,Animalia,Gastropoda,-,-,-,-,-,Yes,-,-
-,Extinct,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"River Swamp Wallaby-grass, Floating Swamp Wallaby-grass",Vulnerable,Plantae,Liliopsida,-,Yes,-,-,Yes,Yes,Yes,-
-,Extinct,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
"Whitesnout Anemonefish, McCulloch's Anemonefish",Critically Endangered,Animalia,Actinopterygii,-,Yes,-,-,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
"Bulloo Grey Grasswren, Grey Grasswren (Bulloo)",Endangered,Animalia,Aves,-,Yes,-,Yes,Yes,-,-,-
Carpentarian Grasswren,Endangered,Animalia,Aves,-,-,Yes,Yes,-,-,-,-
Short-tailed Grasswren (Flinders Ranges),Vulnerable,Animalia,Aves,-,-,-,-,Yes,-,-,-
"Gawler Ranges Short-tailed Grasswren, Short-tailed Grasswren (Gawler Ranges)",Endangered,Animalia,Aves,-,-,-,-,Yes,-,-,-
Thick-billed Grasswren,Vulnerable,Animalia,Aves,-,Yes,Yes,-,Yes,-,-,-
"Grey Range Thick-billed Grasswren, Thick-billed Grasswren (north-west NSW)",Critically Endangered,Animalia,Aves,-,Yes,-,-,-,-,-,-
"Murray Mallee Striated Grasswren, Striated Grasswren (sandplain)",Endangered,Animalia,Aves,-,Yes,-,-,Yes,-,Yes,-
"Mukarrthippi Grasswren, Striated Grasswren (sandplain)",Critically Endangered,Animalia,Aves,-,Yes,-,-,-,-,-,-
Western Grasswren (Gawler Ranges),Vulnerable,Animalia,Aves,-,-,-,-,Yes,-,-,-
"White-throated Grasswren, Yirlinkirrkirr",Vulnerable,Animalia,Aves,-,-,Yes,-,-,-,-,-
-,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Giant Andersonia,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Slender Andersonia,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Two Peoples Bay Andersonia,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Critically Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Straggling Androcalva,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Critically Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Headland Commersonia,Critically Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Pearl-like Androcalva,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Sandy Hollow Commersonia,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Charmhaven Apple,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Sandstone Rough-barked Apple,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Little Kangaroo Paw, Two-coloured Kangaroo Paw, Small Two-colour Kangaroo Paw",Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Dwarf Green Kangaroo Paw,Vulnerable,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Fassifern Blind Snake,Critically Endangered,Animalia,Reptilia,-,-,-,Yes,-,-,-,-
"Five-clawed Worm-skink, Long-legged Worm-skink",Vulnerable,Animalia,Reptilia,-,Yes,-,Yes,-,-,-,-
Australian Lesser Noddy,Vulnerable,Animalia,Aves,-,-,-,-,-,-,-,Yes
Silver-headed Antechinus,Endangered,Animalia,Mammalia,-,-,-,Yes,-,-,-,-
Black-tailed Antechinus,Endangered,Animalia,Mammalia,-,Yes,-,Yes,-,-,-,-
Fawn Antechinus,Vulnerable,Animalia,Mammalia,-,-,Yes,-,-,-,-,-
Swamp Antechinus (mainland),Vulnerable,Animalia,Mammalia,-,-,-,-,Yes,-,Yes,-
Slender Tailflower,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Kangaroo Island Little Wattlebird,Vulnerable,Animalia,Aves,-,-,-,-,Yes,-,-,-
Regent Honeyeater,Critically Endangered,Animalia,Aves,Yes,Yes,-,Yes,Yes,-,Yes,-
Phillip Island Wheat Grass,Critically Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
"Tasmanian Chaostola Skipper, Heath-sand Skipper",Endangered,Animalia,Insecta,-,-,-,-,-,Yes,-,-
"Border Ranges Lined Fern, Lamington Ox Tongue Fern",Critically Endangered,Plantae,Polypodiatae,-,Yes,-,Yes,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Southern Whiteface,Vulnerable,Animalia,Aves,Yes,Yes,Yes,Yes,Yes,-,Yes,Yes
"Fine-leaved Apium, Porongurup Celery",Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Tasman Starling,Extinct,Animalia,Aves,-,Yes,-,-,-,-,-,-
-,Endangered,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
an aquatic herb,Endangered,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
"Eared Worm-lizard, Mallee Worm-lizard",Endangered,Animalia,Reptilia,-,-,-,-,Yes,-,Yes,-
"Pink-tailed Worm-lizard, Pink-tailed Legless Lizard",Vulnerable,Animalia,Reptilia,Yes,Yes,-,-,-,-,Yes,-
Flinders Ranges Worm-lizard,Vulnerable,Animalia,Reptilia,-,-,-,-,Yes,-,-,-
"Tasmanian Wedge-tailed Eagle, Wedge-tailed Eagle (Tasmanian)",Endangered,Animalia,Aves,-,-,-,-,-,Yes,-,-
"Bacon Wood, Tulip Siris",Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
"Myola Palm, Myola Archontophoenix",Endangered,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
Subantarctic Fur-seal,Endangered,Animalia,Mammalia,-,-,-,-,-,Yes,-,-
Sooty Shearwater,Vulnerable,Animalia,Aves,-,Yes,-,Yes,Yes,Yes,Yes,Yes
Ruddy Turnstone,Vulnerable,Animalia,Aves,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Australian Fritillary,Critically Endangered,Animalia,Insecta,-,Yes,-,Yes,-,-,-,-
Shining Cudweed,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,Yes,Yes,-
-,Vulnerable,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
-,Endangered,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
Thompson's wiregrass,Endangered,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
Hairy-joint Grass,Vulnerable,Plantae,Liliopsida,-,Yes,-,Yes,-,-,-,-
Trailing Woodruff,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Kangaroo Island Woodruff,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
Maidenhair Spleenwort,Vulnerable,Plantae,Polypodiatae,-,-,-,-,-,Yes,Yes,-
Christmas Island Spleenwort,Critically Endangered,Plantae,Polypodiatae,-,-,-,-,-,-,-,-
-,Vulnerable,Plantae,Polypodiatae,-,-,-,Yes,-,-,-,-
-,Vulnerable,Plantae,Polypodiatae,-,-,-,Yes,-,-,-,-
Pouched Frog,Vulnerable,Animalia,Amphibia,-,Yes,-,Yes,-,-,-,-
"Mount Wollumbin Hip-pocket Frog, Wollumbin Pouched Frog",Critically Endangered,Animalia,Amphibia,-,Yes,-,-,-,-,-,-
"Giant Freshwater Crayfish, Tasmanian Giant Freshwater Lobster",Vulnerable,Animalia,Malacostraca,-,-,-,-,-,Yes,-,-
Tall Astelia,Vulnerable,Plantae,Liliopsida,-,-,-,-,-,-,Yes,-
White Star-bush,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
Dungowan Starbush,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Bindoon Starbush,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Downy Star-bush,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,Yes,-,Yes,-
Thick-leaf Star-hair,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
Long-leaf Star-hair,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,Yes,-
Wingan Star-hair,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
-,Critically Endangered,Plantae,Magnoliopsida,-,-,Yes,-,-,-,-,-
Yarwun Whitewood,Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
"Noisy Scrub-bird, Tjimiluk",Endangered,Animalia,Aves,-,-,-,-,-,-,-,Yes
Rufous Scrub-bird,Endangered,Animalia,Aves,-,Yes,-,Yes,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Lyon's Grassland Striped Skink, Lyon's Snake-eyed Skink",Critically Endangered,Animalia,Reptilia,-,-,-,Yes,-,-,-,-
Sydney Hawk Dragonfly,Endangered,Animalia,Insecta,-,Yes,-,-,-,-,-,-
-,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
-,Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
-,Vulnerable,Plantae,Liliopsida,-,Yes,-,-,Yes,-,Yes,-
-,Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,Yes,-
"Macquarie Azorella, Macquarie Cushions",Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
-,Critically Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
a shrub,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Sei Whale,Vulnerable,Animalia,Mammalia,-,Yes,-,Yes,Yes,Yes,Yes,Yes
Blue Whale,Endangered,Animalia,Mammalia,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fin Whale,Vulnerable,Animalia,Mammalia,-,Yes,-,Yes,Yes,Yes,Yes,Yes
Southern Shepherd's Purse,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,Yes,-
"Marbled Balogia, Jointed Baloghia",Vulnerable,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
Dense Cord-rush,Vulnerable,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
Cactus Dryandra,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Orange Dryandra,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Brown's Banksia, Feather-leaved Banksia",Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Matchstick Banksia, Quairading Banksia",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Dark-bract Banksia,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Good's Banksia,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Kamballup Dryandra,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Summer Honeypot,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Stirling Range Dryandra,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Swamp Honeypot,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Wagin Banksia,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
a banksia,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
a banksia,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
False Plumed-Banksia,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Northern Serrate Dryandra,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Southern Serrate Dryandra,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Ironcaps Banksia, Ironcap Banksia",Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Whicher Range Dryandra,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Granite Banksia, Albany Banksia, River Banksia",Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Native Wintercress, Riverbed Wintercress",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
Arnhem Land Egernia,Endangered,Animalia,Reptilia,-,-,Yes,-,-,-,-,-
Eastern Stirling Range Pygmy Trapdoor Spider,Vulnerable,Animalia,Arachnida,-,-,-,-,-,-,-,Yes
Tingle Pygmy Trapdoor Spider,Endangered,Animalia,Arachnida,-,-,-,-,-,-,-,Yes
a shrub,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Mt Ernest Bertya,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
a shrub,Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
a shrub,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
a shrub,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Tasmanian Bertya,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
Desert Bettong,Extinct,Animalia,Mammalia,-,-,Yes,-,-,-,-,Yes
"Eastern Bettong (mainland), Eastern Rat-kangaroo",Extinct,Animalia,Mammalia,-,Yes,-,Yes,Yes,-,Yes,-
"Boodie, Burrowing Bettong (Barrow and Boodie Islands)",Vulnerable,Animalia,Mammalia,-,-,-,-,-,-,-,Yes
"Boodie (inland), Burrowing Bettong (inland)",Extinct,Animalia,Mammalia,-,Yes,Yes,Yes,Yes,-,-,Yes
"Burrowing Bettong (Shark Bay), Boodie",Vulnerable,Animalia,Mammalia,-,Yes,-,-,Yes,-,-,Yes
